Date,Open Price
10-Jan-03,4810
13-Jan-03,4419
14-Jan-03,4285
15-Jan-03,4508
16-Jan-03,4578
17-Jan-03,4578
20-Jan-03,4609.7
21-Jan-03,4539
22-Jan-03,4500
23-Jan-03,4470
24-Jan-03,4515.1
27-Jan-03,4334.7
28-Jan-03,4299.9
29-Jan-03,4340
30-Jan-03,4225
31-Jan-03,4212.15
3-Feb-03,4220.25
4-Feb-03,4439.45
5-Feb-03,4379.9
6-Feb-03,4399
7-Feb-03,4500
10-Feb-03,4460
11-Feb-03,4338
12-Feb-03,4250
14-Feb-03,4180
17-Feb-03,4261.35
18-Feb-03,4290
19-Feb-03,4275
20-Feb-03,4220
21-Feb-03,4244
24-Feb-03,4251.25
25-Feb-03,4175.15
26-Feb-03,4145
27-Feb-03,4083.4
28-Feb-03,4365
3-Mar-03,4306.15
4-Mar-03,4189.45
5-Mar-03,4110.1
6-Mar-03,4179
7-Mar-03,4055
10-Mar-03,3585
11-Mar-03,4018
12-Mar-03,4111.6
13-Mar-03,4041.55
17-Mar-03,4062
19-Mar-03,4051
20-Mar-03,4165
21-Mar-03,4367
22-Mar-03,4448
24-Mar-03,4438.4
25-Mar-03,4325
26-Mar-03,4310
27-Mar-03,4245
28-Mar-03,4260
31-Mar-03,4201.15
1-Apr-03,4015
2-Apr-03,4080.25
3-Apr-03,4199.95
4-Apr-03,4283
7-Apr-03,4301
8-Apr-03,4341.3
9-Apr-03,4197.8
10-Apr-03,4100
11-Apr-03,2888
15-Apr-03,2750
16-Apr-03,2833.7
17-Apr-03,2875
21-Apr-03,3025
22-Apr-03,2947.7
23-Apr-03,2962
24-Apr-03,2866.9
25-Apr-03,2870
28-Apr-03,2910.25
29-Apr-03,2940
30-Apr-03,2850
2-May-03,2818.7
5-May-03,2820
6-May-03,2949
7-May-03,2980
8-May-03,2989.8
9-May-03,2950
12-May-03,2958
13-May-03,2810
14-May-03,2870
15-May-03,2880
16-May-03,2939.4
19-May-03,3026
20-May-03,2788
21-May-03,2879
22-May-03,2780
23-May-03,2712.25
26-May-03,2618.4
27-May-03,2625
28-May-03,2651.9
29-May-03,2746.2
30-May-03,2779
2-Jun-03,2750
3-Jun-03,2848
4-Jun-03,2755
5-Jun-03,2827.1
6-Jun-03,2882
9-Jun-03,2902
10-Jun-03,2950
11-Jun-03,2910.3
12-Jun-03,2962.25
13-Jun-03,2979
16-Jun-03,2939.7
17-Jun-03,2985.25
18-Jun-03,3094
19-Jun-03,3025
20-Jun-03,2930
23-Jun-03,3075.35
24-Jun-03,3026
25-Jun-03,3151.1
26-Jun-03,3140.5
27-Jun-03,3295.25
30-Jun-03,3334.7
1-Jul-03,3276.25
2-Jul-03,3349
3-Jul-03,3300
4-Jul-03,3104.7
7-Jul-03,3090.5
8-Jul-03,3139
9-Jul-03,3235
10-Jul-03,3500
11-Jul-03,3579
14-Jul-03,3575
15-Jul-03,3450
16-Jul-03,3462.35
17-Jul-03,3565
18-Jul-03,3365
21-Jul-03,3400
22-Jul-03,3267
23-Jul-03,3385
24-Jul-03,3460
25-Jul-03,3377.3
28-Jul-03,3540
29-Jul-03,3499
30-Jul-03,3576.45
31-Jul-03,3590
1-Aug-03,3650
4-Aug-03,3725.5
5-Aug-03,3752.35
6-Aug-03,3660.6
7-Aug-03,3489
8-Aug-03,3540
11-Aug-03,3530
12-Aug-03,3537.7
13-Aug-03,3441.3
14-Aug-03,3466.7
18-Aug-03,3438
19-Aug-03,3521
20-Aug-03,3533.7
21-Aug-03,3692.3
22-Aug-03,3736.35
25-Aug-03,3687.7
26-Aug-03,3565
27-Aug-03,3765
28-Aug-03,3901.25
29-Aug-03,3945.35
1-Sep-03,4000
2-Sep-03,3900
3-Sep-03,3944
4-Sep-03,3850
5-Sep-03,4248
8-Sep-03,4260
9-Sep-03,4344.7
10-Sep-03,4405
11-Sep-03,4200
12-Sep-03,4375
15-Sep-03,4145
16-Sep-03,4031.25
17-Sep-03,4295.3
18-Sep-03,4265
19-Sep-03,4320
22-Sep-03,4372
23-Sep-03,4329
24-Sep-03,4325
25-Sep-03,4315
26-Sep-03,4490
29-Sep-03,4570
30-Sep-03,4547.7
1-Oct-03,4499
3-Oct-03,4632
6-Oct-03,4581.1
7-Oct-03,4588
8-Oct-03,4500
9-Oct-03,4425
10-Oct-03,4700
13-Oct-03,4701
14-Oct-03,4770.55
15-Oct-03,4722.15
16-Oct-03,4764
17-Oct-03,4660
20-Oct-03,4735
21-Oct-03,4800
22-Oct-03,4598.75
23-Oct-03,4500
24-Oct-03,5200
25-Oct-03,4598.45
27-Oct-03,4567
28-Oct-03,4489.65
29-Oct-03,4501
30-Oct-03,4610
31-Oct-03,4600
3-Nov-03,4755
4-Nov-03,5031.25
5-Nov-03,5040
6-Nov-03,4980.15
7-Nov-03,5070
10-Nov-03,4950
11-Nov-03,4890
12-Nov-03,4930
13-Nov-03,4910.2
14-Nov-03,4745
15-Nov-03,4555.05
17-Nov-03,4623
18-Nov-03,4629.8
19-Nov-03,4582
20-Nov-03,4701.2
21-Nov-03,4600
24-Nov-03,4647.7
25-Nov-03,4690
27-Nov-03,4780
28-Nov-03,4880
1-Dec-03,4960
2-Dec-03,5201
3-Dec-03,5135
4-Dec-03,4700
5-Dec-03,5023.25
8-Dec-03,4900
9-Dec-03,4931.15
10-Dec-03,4950
11-Dec-03,5039
12-Dec-03,5000
15-Dec-03,5050
16-Dec-03,5000.4
17-Dec-03,5140
