"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFOSYSTCH","EQ","19-Jun-2000","       8390.65","       8400.00","       8668.00","       8251.00","       8510.00","       8565.70","       8534.62","     614834","          5247372604.30","-","-","-"
"INFOSYSTCH","EQ","20-Jun-2000","       8565.70","       8535.00","       8950.00","       8535.00","       8725.00","       8728.95","       8769.64","     394110","          3456202774.05","-","-","-"
"INFOSYSTCH","EQ","21-Jun-2000","       8728.95","       8900.00","       8900.00","       8430.00","       8445.00","       8500.75","       8692.48","     429796","          3735991962.90","-","-","-"
"INFOSYSTCH","EQ","22-Jun-2000","       8500.75","       8500.00","       8593.00","       8401.00","       8511.00","       8512.60","       8521.60","     339271","          2891130445.20","-","-","-"
"INFOSYSTCH","EQ","23-Jun-2000","       8512.60","       8496.00","       8496.00","       8166.00","       8246.00","       8259.25","       8283.01","     344091","          2850110012.20","-","-","-"
"INFOSYSTCH","EQ","26-Jun-2000","       8259.25","       8200.05","       8200.05","       7850.10","       8075.00","       8083.15","       7982.27","     273596","          2183917050.70","-","-","-"
"INFOSYSTCH","EQ","27-Jun-2000","       8083.15","       8179.00","       8308.90","       8005.00","       8155.00","       8157.50","       8199.61","     310998","          2550063159.25","-","-","-"
"INFOSYSTCH","EQ","28-Jun-2000","       8157.50","       8100.00","       8260.00","       7902.00","       8251.00","       8216.80","       8152.47","     190015","          1549091671.25","-","-","-"
"INFOSYSTCH","EQ","29-Jun-2000","       8216.80","       8269.00","       8649.00","       8269.00","       8360.05","       8390.50","       8485.89","     263555","          2236500056.60","-","-","-"
"INFOSYSTCH","EQ","30-Jun-2000","       8390.50","       8306.00","       8350.00","       8151.00","       8340.00","       8310.40","       8281.11","     240715","          1993387353.60","-","-","-"
"INFOSYSTCH","EQ","03-Jul-2000","       8310.40","       8390.00","       8619.00","       8390.00","       8610.00","       8583.55","       8531.21","     331788","          2830552636.15","-","-","-"
"INFOSYSTCH","EQ","04-Jul-2000","       8583.55","       8620.00","       8798.00","       8601.00","       8702.25","       8749.85","       8705.00","     349954","          3046349153.35","-","-","-"
"INFOSYSTCH","EQ","05-Jul-2000","       8749.85","       8788.00","       8812.00","       8556.00","       8589.95","       8600.45","       8655.32","     247278","          2140269397.50","-","-","-"
"INFOSYSTCH","EQ","06-Jul-2000","       8600.45","       8565.00","       8565.00","       8370.00","       8470.00","       8468.25","       8460.27","     213964","          1810192484.85","-","-","-"
"INFOSYSTCH","EQ","07-Jul-2000","       8468.25","       8489.90","       8619.85","       8456.10","       8491.00","       8487.65","       8533.71","     253472","          2163056195.80","-","-","-"
"INFOSYSTCH","EQ","10-Jul-2000","       8487.65","       8510.00","       8560.00","       8264.00","       8320.10","       8296.60","       8392.95","     243594","          2044471132.45","-","-","-"
"INFOSYSTCH","EQ","11-Jul-2000","       8296.60","       8333.00","       8525.00","       8240.00","       8271.00","       8273.25","       8401.76","     421302","          3539679962.35","-","-","-"
"INFOSYSTCH","EQ","12-Jul-2000","       8273.25","       8275.00","       8399.00","       8090.00","       8399.00","       8361.55","       8232.97","     456013","          3754341026.65","-","-","-"
"INFOSYSTCH","EQ","13-Jul-2000","       8361.55","       8448.00","       8529.95","       7950.00","       7980.00","       8031.15","       8212.32","     429320","          3525714797.25","-","-","-"
"INFOSYSTCH","EQ","14-Jul-2000","       8031.15","       7900.05","       8038.00","       7681.00","       7779.00","       7770.05","       7814.54","     857042","          6697384723.60","-","-","-"
"INFOSYSTCH","EQ","17-Jul-2000","       7770.05","       7750.00","       7819.90","       7610.00","       7670.00","       7692.60","       7705.03","     414452","          3193364774.65","-","-","-"
"INFOSYSTCH","EQ","18-Jul-2000","       7692.60","       7697.00","       7699.00","       7372.00","       7462.35","       7454.55","       7500.82","     595418","          4466124867.25","-","-","-"
"INFOSYSTCH","EQ","19-Jul-2000","       7454.55","       7100.60","       7480.00","       7082.20","       7320.00","       7325.10","       7354.98","     480810","          3536346054.15","-","-","-"
"INFOSYSTCH","EQ","20-Jul-2000","       7325.10","       7291.00","       7374.45","       7205.00","       7359.00","       7347.25","       7311.96","     352790","          2579586897.75","-","-","-"
"INFOSYSTCH","EQ","21-Jul-2000","       7347.25","       7374.45","       7510.00","       7301.00","       7305.00","       7349.30","       7419.55","     442516","          3283269714.90","-","-","-"
"INFOSYSTCH","EQ","24-Jul-2000","       7349.30","       7262.00","       7262.00","       6766.00","       6779.00","       6851.80","       6968.29","     529460","          3689430331.10","-","-","-"
"INFOSYSTCH","EQ","25-Jul-2000","       6851.80","       6500.00","       7245.00","       6352.00","       7207.10","       7118.45","       6769.25","     769192","          5206854185.60","-","-","-"
"INFOSYSTCH","EQ","26-Jul-2000","       7118.45","       7268.00","       7299.00","       6601.15","       6621.10","       6656.10","       6890.31","     533944","          3679037645.65","-","-","-"
"INFOSYSTCH","EQ","27-Jul-2000","       6656.10","       6600.00","       6849.00","       6355.00","       6780.20","       6787.20","       6592.14","     623120","          4107693692.25","-","-","-"
"INFOSYSTCH","EQ","28-Jul-2000","       6787.20","       6825.00","       7065.00","       6721.00","       6909.95","       6845.30","       6914.19","     690351","          4773217573.95","-","-","-"
"INFOSYSTCH","EQ","31-Jul-2000","       6845.30","       6850.00","       6909.00","       6651.00","       6790.00","       6761.25","       6780.71","     337832","          2290739615.25","-","-","-"
"INFOSYSTCH","EQ","01-Aug-2000","       6761.25","       6840.00","       6898.00","       6712.60","       6769.00","       6748.15","       6801.14","     371961","          2529758621.00","-","-","-"
"INFOSYSTCH","EQ","02-Aug-2000","       6748.15","       6624.00","       6658.00","       6485.00","       6635.10","       6627.10","       6582.18","     421744","          2775993696.40","-","-","-"
"INFOSYSTCH","EQ","03-Aug-2000","       6627.10","       6580.00","       6580.00","       6300.00","       6465.00","       6450.60","       6483.64","     421473","          2732678592.70","-","-","-"
"INFOSYSTCH","EQ","04-Aug-2000","       6450.60","       6411.00","       6629.00","       6255.60","       6312.20","       6325.20","       6422.15","     706349","          4536276259.15","-","-","-"
"INFOSYSTCH","EQ","07-Aug-2000","       6325.20","       6369.00","       6490.00","       6320.00","       6480.00","       6438.80","       6404.09","     388077","          2485278795.45","-","-","-"
"INFOSYSTCH","EQ","08-Aug-2000","       6438.80","       6490.00","       7469.05","       6490.00","       7469.05","       7459.25","       7023.87","    1187055","          8337724407.80","-","-","-"
"INFOSYSTCH","EQ","09-Aug-2000","       7459.25","       7690.00","       7840.00","       7525.00","       7570.10","       7571.65","       7659.41","     706069","          5408074417.40","-","-","-"
"INFOSYSTCH","EQ","10-Aug-2000","       7571.65","       7510.00","       7674.00","       7221.30","       7274.00","       7270.55","       7439.48","     546702","          4067176050.80","-","-","-"
"INFOSYSTCH","EQ","11-Aug-2000","       7270.55","       7237.00","       7495.00","       7135.00","       7249.00","       7235.55","       7279.29","     811922","          5910213003.75","-","-","-"
"INFOSYSTCH","EQ","14-Aug-2000","       7235.55","       7295.00","       7347.00","       7171.00","       7265.20","       7280.50","       7258.08","     483206","          3507145627.60","-","-","-"
"INFOSYSTCH","EQ","16-Aug-2000","       7280.50","       7425.00","       7789.00","       7411.00","       7750.00","       7735.30","       7648.81","     660796","          5054305335.60","-","-","-"
"INFOSYSTCH","EQ","17-Aug-2000","       7735.30","       7768.00","       7824.00","       7530.00","       7545.00","       7561.85","       7632.89","     368614","          2813590916.20","-","-","-"
"INFOSYSTCH","EQ","18-Aug-2000","       7561.85","       7552.20","       8014.95","       7552.20","       7940.00","       7970.90","       7818.17","    1175987","          9194062447.20","-","-","-"
"INFOSYSTCH","EQ","21-Aug-2000","       7970.90","       7999.00","       8084.00","       7801.00","       7964.00","       7965.90","       7993.48","     674358","          5390469816.25","-","-","-"
"INFOSYSTCH","EQ","22-Aug-2000","       7965.90","       7985.00","       8603.00","       7985.00","       8277.00","       8295.85","       8331.17","     669011","          5573642289.05","-","-","-"
"INFOSYSTCH","EQ","23-Aug-2000","       8295.85","       8143.00","       8209.80","       8001.00","       8049.00","       8045.85","       8116.51","     403077","          3271578430.55","-","-","-"
